choice,rcmax,fbp,median_t10,median_t100,median_t1000,median_t10000,median_t100000,median_t1000000
camembert,70,0.0,2,3,5,7,7,7
camembert,70,0.009898726371921225,2,3,4,5,5,5
camembert,70,0.016731261892052214,2,3,4,4,4,4
camembert,70,0.023756943292610938,2,3,4,4,4,4
camembert,70,0.03090334086843699,2,3,3,4,4,4
camembert,70,0.03824288432469078,2,3,3,3,3,3
camembert,70,0.04546171160567723,2,3,3,3,3,3
camembert,70,0.0690496522529139,2,2,3,3,3,3
camembert,140,0.0,2,3,5,9,12,14
camembert,140,0.009898726371921225,2,3,5,6,6,6
camembert,140,0.016731261892052214,2,3,4,5,5,5
camembert,140,0.023756943292610938,2,3,4,4,4,4
camembert,140,0.03090334086843699,2,3,4,4,4,4
camembert,140,0.03824288432469078,2,3,3,3,3,3
camembert,140,0.04546171160567723,2,3,3,3,3,3
camembert,140,0.0690496522529139,2,2,3,3,3,3
camembert,210,0.0,3,5,8,14,23,34
camembert,210,0.009898726371921225,3,5,7,10,10,10
camembert,210,0.016731261892052214,3,5,7,8,8,8
camembert,210,0.023756943292610938,3,5,6,7,7,7
camembert,210,0.03090334086843699,3,4,6,6,6,6
camembert,210,0.03824288432469078,3,4,5,6,6,6
camembert,210,0.04546171160567723,3,4,5,5,5,5
camembert,210,0.0690496522529139,3,4,4,4,4,4
camembert,280,0.0,2,4,7,12,22,39
camembert,280,0.009898726371921225,2,4,6,8,9,9
camembert,280,0.016731261892052214,2,4,6,7,7,7
camembert,280,0.023756943292610938,2,4,5,6,6,6
camembert,280,0.03090334086843699,2,4,5,5,5,5
camembert,280,0.03824288432469078,2,4,5,5,5,5
camembert,280,0.04546171160567723,2,4,4,4,4,4
camembert,280,0.0690496522529139,2,3,4,4,4,4
sphere,70,0.0,4,10,30,38,38,39
sphere,70,0.009898726371921225,4,10,30,38,38,38
sphere,70,0.016731261892052214,4,10,30,38,38,38
sphere,70,0.023756943292610938,4,10,30,38,38,38
sphere,70,0.03090334086843699,4,10,30,38,38,38
sphere,70,0.03824288432469078,4,10,30,38,38,38
sphere,70,0.04546171160567723,4,10,30,38,38,38
sphere,70,0.0690496522529139,4,10,30,38,38,38
sphere,140,0.0,4,10,31,81,88,95
sphere,140,0.009898726371921225,4,10,31,80,85,85
sphere,140,0.016731261892052214,4,10,31,80,83,83
sphere,140,0.023756943292610938,4,10,31,79,82,82
sphere,140,0.03090334086843699,4,10,31,78,81,81
sphere,140,0.03824288432469078,4,10,31,78,80,80
sphere,140,0.04546171160567723,4,10,31,78,79,79
sphere,140,0.0690496522529139,4,10,31,77,78,78
sphere,210,0.0,4,10,31,95,150,172
sphere,210,0.009898726371921225,4,10,31,95,139,140
sphere,210,0.016731261892052214,4,10,31,95,132,132
sphere,210,0.023756943292610938,4,10,31,95,128,128
sphere,210,0.03090334086843699,4,10,31,95,125,125
sphere,210,0.03824288432469078,4,10,31,95,123,123
sphere,210,0.04546171160567723,4,10,31,95,122,122
sphere,210,0.0690496522529139,4,10,31,94,119,119
sphere,280,0.0,4,10,31,96,213,264
sphere,280,0.009898726371921225,4,10,31,96,193,197
sphere,280,0.016731261892052214,4,10,31,96,181,182
sphere,280,0.023756943292610938,4,10,31,96,174,174
sphere,280,0.03090334086843699,4,10,31,96,170,170
sphere,280,0.03824288432469078,4,10,31,96,167,167
sphere,280,0.04546171160567723,4,10,31,96,165,165
sphere,280,0.0690496522529139,4,10,31,96,160,160
